,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Gwarancja dealerska (w cenie),Kraj pochodzenia,Bezwypadkowy,Stan,Numer rejestracyjny pojazdu,Pierwszy właściciel,Rodzaj koloru,Serwisowany w ASO,Zarejestrowany w Polsce,Pierwsza rejestracja,Tuning,Uszkodzony,VAT marża,Okres gwarancji producenta,VIN,lub do (przebieg km)
322,Osoby prywatnej,Motocykle,Yamaha,WR,2013,33 200 km,125 cm3,15 KM,,,Benzyna,,Enduro,Czarny,,,,,,,Używane,,,,,,,,,,,,
323,Firmy,Motocykle,Suzuki,GSX-R,2001,21 000 km,1 000 cm3,160 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czerwony,,,,,Niemcy,Tak,Używane,,,,,,,,,Tak,,,
324,Firmy,Motocykle,Victory,Inny,2016,2 843 km,1 731 cm3,,Pas napędowy,,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,,,Stany Zjednoczone,,Używane,,,,,,,,,,,,
325,Osoby prywatnej,Motocykle,Yamaha,XJ,1998,66 000 km,600 cm3,61 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czerwony,,,,,,,Używane,PKR90C9,,Metalik,,Tak,02/10/1998,,,,,,
326,Firmy,Motocykle,Polaris,Ranger XP,2021,1 km,999 cm3,82 KM,Wał kardana,Czterosuwowy,Benzyna,Bezstopniowa,Quad,Czarny,Tak,Tak,Tak,24 miesięcy,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
327,Firmy,Motocykle,Honda,VTX,2007,15 490 km,,,,,Benzyna,,Cruiser,Niebieski,,Tak,,,,,Używane,,,,,,,,,,,,
328,Firmy,Motocykle,Kawasaki,EN,2015,8 059 km,,,,,Benzyna,,Cruiser,Biały,,Tak,,,,,Używane,,,Metalik,,,,,,,,,
329,Firmy,Motocykle,Kawasaki,VN,2005,47 237 km,,,,,Benzyna,,Cruiser,Beżowy,,Tak,,,,,Używane,,,,,,,,,,,,
330,Firmy,Motocykle,Yamaha,MT,2019,11 008 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Niemcy,Tak,Używane,,Tak,,Tak,,,,,Tak,,,
331,Firmy,Motocykle,Diabolini,Inny,2020,1 km,150 cm3,16 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Zielony,,Tak,,,Stany Zjednoczone,Tak,Nowe,,,,,,,,,,,,
332,Firmy,Motocykle,Harley-Davidson,Inny,2016,13 000 km,,,,,Benzyna,,Cruiser,Czarny,,,,,,,Używane,,,,,,,,,,,,
333,Firmy,Motocykle,Kawasaki,VN,2007,4 249 km,,,,,Benzyna,,Cruiser,Złoty,,Tak,,,,,Używane,,,,,,,,,,,,
