,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Bezwypadkowy,Stan,price,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Rodzaj koloru,Pierwsza rejestracja,Serwisowany w ASO,Pierwszy właściciel,Gwarancja dealerska (w cenie),Tuning,VAT marża,Okres gwarancji producenta,Liczba pozostałych rat,Miesięczna rata,Opłata początkowa,Wartość wykupu,lub do (przebieg km),Uszkodzony,VIN,Zarejestrowany jako zabytek
5252,Osoby prywatnej,Motocykle,Aprilia,Shiver,2009,27 825 km,750 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czerwony,,,,Włochy,,Używane,13800,LBL49H2,Tak,Metalik,11/02/2009,,,,,,,,,,,,,,
5253,Firmy,Motocykle,Diabolini,Inny,2021,1 km,110 cm3,10 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,,Polska,Tak,Nowe,4450,,,Metalik,,,,6 miesięcy,,,,,,,,,,,
5254,Osoby prywatnej,Motocykle,BMW,R,2014,18 000 km,1 170 cm3,107 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,,Tak,Używane,35000,,Tak,,25/04/2014,Tak,,,,,,,,,,,,,
5255,Firmy,Motocykle,Barton,Inny,2021,1 km,125 cm3,13 KM,Łańcuch,Czterosuwowy,Benzyna,,Sportowy,Inny kolor,Tak,Tak,,,Tak,Używane,13999,,,Metalik,,,,,,,,,,,,,,,
5256,Firmy,Motocykle,Kymco,Agility,2021,1 km,125 cm3,10 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Skuter,Niebieski,,,,,Tak,Nowe,11900,,,Metalik,,,,,,,,,,,,,,,
5257,Firmy,Motocykle,Piaggio,Beverly,2007,31 000 km,125 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,Tak,,,,Tak,Używane,7400,,,Metalik,,Tak,,,,Tak,,,,,,,,,
5258,Firmy,Motocykle,Zontes,125 U,2021,1 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Inny kolor,,Tak,Tak,,Tak,Nowe,14999,,,,,,,,,,,,,,,,,,
5259,Firmy,Motocykle,Triumph,Tiger,2007,72 700 km,1 050 cm3,,Łańcuch,,Benzyna,Manualna,Turystyczny,Czarny,Tak,,,,Tak,Używane,20000,,,Metalik,,,,,,Tak,,,,,,,,,
5260,Osoby prywatnej,Motocykle,Suzuki,Burgman,2009,39 200 km,650 cm3,56 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Czarny,,,,Belgia,Tak,Używane,12500,,Tak,,28/05/2009,,,,,,,,,,,,,,
5261,Osoby prywatnej,Motocykle,Harley-Davidson,Fat Boy,1998,5 900 km,,,,,Benzyna,,Chopper,Czarny,,,,,,Używane,46999,,,,,,,,,,,,,,,,,,
5262,Osoby prywatnej,Motocykle,Ducati,Scrambler,2015,10 312 km,,75 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,Polska,Tak,Używane,29900,,Tak,,,Tak,,,Tak,,,,,,,,,,
5263,Osoby prywatnej,Motocykle,Harley-Davidson,Electra Glide,2018,17 000 km,1 700 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Złoty,,,,Stany Zjednoczone,,Używane,85000,EL72J4,Tak,Metalik,01/01/2018,,,,,,,,,,,,,,
5264,Firmy,Motocykle,Can-Am,Outlander,2021,1 km,650 cm3,59 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,Tak,Polska,Tak,Nowe,69500,,,,,,,,,,,,,,,,,,
5265,Firmy,Motocykle,Can-Am,Outlander Max,2021,1 km,1 000 cm3,91 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,Tak,Polska,Tak,Nowe,73900,,,,,,,,,,,,,,,,,,
5266,Firmy,Motocykle,Junak,Inny,2021,1 km,124 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Inny kolor,Tak,Tak,Tak,Polska,Tak,Używane,7599,,,,,,,,,,,,,,,,,,
